date,code,open,high,low,close,volume,amount,adjustflag
2015-12-11,sz.000001,9.2228896200,9.2306334400,9.0835008600,9.1609390600,37950803,448800944.0000,2
2015-12-14,sz.000001,9.0835008600,9.3777660200,9.0680132200,9.3467907400,58723664,698791984.0000,2
2015-12-15,sz.000001,9.3158154600,9.3622783800,9.1841705200,9.2306334400,36448735,436557696.0000,2
2015-12-16,sz.000001,9.2770963600,9.3003278200,9.1996581600,9.2074019800,39276282,468510256.0000,2
2015-12-17,sz.000001,9.2693525400,9.4009974800,9.2616087200,9.3467907400,64827475,780891808.0000,2
2015-12-18,sz.000001,9.3158154600,9.7184941000,9.3080716400,9.4706918600,102294474,1257360352.0000,2
2015-12-21,sz.000001,9.4009974800,9.8501390400,9.3777660200,9.6875188200,128114213,1595741312.0000,2
2015-12-22,sz.000001,9.6797750000,9.7727008400,9.5868491600,9.6255682600,69809145,870121728.0000,2
2015-12-23,sz.000001,9.6565435400,9.8966019600,9.6023368000,9.6642873600,103901823,1302341536.0000,2
2015-12-24,sz.000001,9.6487997200,9.7262379200,9.4784356800,9.5558738800,64022964,791975824.0000,2
2015-12-25,sz.000001,9.5868491600,9.6565435400,9.5481300600,9.6100806200,39984505,495638048.0000,2
2015-12-28,sz.000001,9.6255682600,9.6487997200,9.2770963600,9.2770963600,82240863,1003010208.0000,2
2015-12-29,sz.000001,9.2848401800,9.3700222000,9.2693525400,9.3622783800,61980214,744718416.0000,2
2015-12-30,sz.000001,9.3622783800,9.3777660200,9.2538649000,9.3700222000,53266704,641277264.0000,2
2015-12-31,sz.000001,9.3700222000,9.3932536600,9.2770963600,9.2848401800,49125892,591643584.0000,2
2016-01-04,sz.000001,9.2925840000,9.3158154600,8.6963098600,8.7737480600,56349787,660376160.0000,2
2016-01-05,sz.000001,8.7272851400,8.9595997400,8.6343593000,8.8279548000,66326995,755531360.0000,2
2016-01-06,sz.000001,8.8434424400,8.9518559200,8.8202109800,8.9286244600,51570644,591698528.0000,2
2016-01-07,sz.000001,8.8356986200,8.8356986200,8.4485076200,8.4717390800,17476110,194869493.0000,2
2016-01-08,sz.000001,8.6808222200,8.7427727800,8.4407638000,8.6111278400,74752758,831334544.0000,2
2016-01-11,sz.000001,8.5182020000,8.5801525600,8.2703997600,8.3323503200,73201399,800683648.0000,2
2016-01-12,sz.000001,8.3865570600,8.4485076200,8.2394244800,8.3710694200,56164230,605970832.0000,2
2016-01-13,sz.000001,8.4330199800,8.4717390800,8.2858874000,8.2936312200,39170948,424371696.0000,2
2016-01-14,sz.000001,8.2007053800,8.3633256000,8.1155233600,8.3400941400,66631454,708535008.0000,2
